lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-04-24 13:11:27.441109,,,,,,,,,,,,,,
,2023-04-24 13:11:28.516156,0.10479583591222763,0.00035540404496714473,0.10479583591222763,1199.0,6.0,,,,,,,,,
,2023-04-24 13:11:58.394487,,,,,6.0,0.10041838139295578,0.00038021476939320564,0.10041838139295578,0.09446944296360016,0.00037160501233302057,0.09446944296360016,,,
,2023-04-24 13:11:58.435313,,,,,6.0,,,,,,,0.14332428574562073,0.0023634787648916245,0.14332428574562073
0.02,2023-04-24 13:12:24.703496,,,,,,,,,,,,,,
,2023-04-24 13:12:25.779225,0.14102904498577118,0.000980542041361332,0.14102904498577118,1249.0,7.0,,,,,,,,,
0.02,2023-04-24 13:13:18.874675,,,,,,,,,,,,,,
,2023-04-24 13:13:19.949153,0.1176941990852356,0.0006771125481463969,0.1176941990852356,1299.0,7.0,,,,,,,,,
0.02,2023-04-24 13:14:13.007656,,,,,,,,,,,,,,
,2023-04-24 13:14:14.084962,0.05757729709148407,0.0002141944714821875,0.05757729709148407,1349.0,7.0,,,,,,,,,
0.02,2023-04-24 13:15:07.286088,,,,,,,,,,,,,,
,2023-04-24 13:15:08.360999,0.02942299284040928,0.00010983961692545563,0.02942299284040928,1399.0,7.0,,,,,,,,,
,2023-04-24 13:15:11.135765,,,,,7.0,0.06684823334217072,0.00024309719447046518,0.06684823334217072,0.07187879830598831,0.0004186255973763764,0.07187879830598831,,,
,2023-04-24 13:15:11.236603,,,,,7.0,,,,,,,0.14375746250152588,0.0034098855685442686,0.14375746250152588
0.02,2023-04-24 13:16:04.659749,,,,,,,,,,,,,,
,2023-04-24 13:16:05.741148,0.14570456743240356,0.0005310686537995934,0.14570456743240356,1449.0,8.0,,,,,,,,,
0.02,2023-04-24 13:16:58.872564,,,,,,,,,,,,,,
,2023-04-24 13:17:01.538366,0.024709125980734825,9.542280167806894e-05,0.024709125980734825,1499.0,8.0,,,,,,,,,
0.02,2023-04-24 13:20:31.578259,,,,,,,,,,,,,,
,2023-04-24 13:20:32.652202,0.09006831794977188,0.0007315201801247895,0.09006831794977188,1549.0,8.0,,,,,,,,,
,2023-04-24 13:21:02.420351,,,,,8.0,0.14545416831970215,0.010101999156177044,0.14545416831970215,0.16168396174907684,0.00206196797080338,0.16168396174907684,,,
,2023-04-24 13:21:02.479433,,,,,8.0,,,,,,,0.14702855050563812,0.0028811334632337093,0.14702855050563812
0.02,2023-04-24 13:21:28.683411,,,,,,,,,,,,,,
,2023-04-24 13:21:29.750337,0.06366772949695587,0.00022229684691410512,0.06366772949695587,1599.0,9.0,,,,,,,,,
0.02,2023-04-24 13:22:22.755281,,,,,,,,,,,,,,
,2023-04-24 13:22:23.830905,0.16849032044410706,0.0008178541902452707,0.16849032044410706,1649.0,9.0,,,,,,,,,
0.02,2023-04-24 13:23:16.920584,,,,,,,,,,,,,,
,2023-04-24 13:23:18.001165,0.2819024920463562,0.003529943525791168,0.2819024920463562,1699.0,9.0,,,,,,,,,
0.02,2023-04-24 13:24:11.198794,,,,,,,,,,,,,,
,2023-04-24 13:24:12.268560,0.075969398021698,0.00026463984977453947,0.075969398021698,1749.0,9.0,,,,,,,,,
,2023-04-24 13:24:15.083666,,,,,9.0,0.08324960619211197,0.0002827095449902117,0.08324960619211197,0.09170167148113251,0.00044155571958981454,0.09170167148113251,,,
,2023-04-24 13:24:15.131972,,,,,9.0,,,,,,,0.14323219656944275,0.0026923976838588715,0.14323219656944275
0.02,2023-04-24 13:25:08.329694,,,,,,,,,,,,,,
,2023-04-24 13:25:09.403148,0.044685617089271545,0.0001621607516426593,0.044685617089271545,1799.0,10.0,,,,,,,,,
0.02,2023-04-24 13:26:02.229016,,,,,,,,,,,,,,
,2023-04-24 13:26:03.303313,0.04258202761411667,0.00015092417015694082,0.04258202761411667,1849.0,10.0,,,,,,,,,
0.02,2023-04-24 13:26:56.175667,,,,,,,,,,,,,,
,2023-04-24 13:26:57.238244,0.09378362447023392,0.00036945444298908114,0.09378362447023392,1899.0,10.0,,,,,,,,,
,2023-04-24 13:27:27.088457,,,,,10.0,0.15973152220249176,0.0006372565985657275,0.15973152220249176,0.12269531935453415,0.0008664759807288647,0.12269531935453415,,,
,2023-04-24 13:27:27.135028,,,,,10.0,,,,,,,0.13743937015533447,0.00368139473721385,0.13743937015533447
0.02,2023-04-24 13:27:53.365106,,,,,,,,,,,,,,
,2023-04-24 13:27:54.443285,0.13628874719142914,0.0006676099146716297,0.13628874719142914,1949.0,11.0,,,,,,,,,
0.02,2023-04-24 13:28:47.395225,,,,,,,,,,,,,,
,2023-04-24 13:28:49.237437,0.052490346133708954,0.00018810694746207446,0.052490346133708954,1999.0,11.0,,,,,,,,,
0.02,2023-04-24 13:32:19.480319,,,,,,,,,,,,,,
