lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-04-24 09:24:18.241164,,,,,,,,,,,,,,
,2023-04-24 09:24:19.187217,0.030869003385305405,0.00012180647172499448,0.030869003385305405,49.0,0.0,,,,,,,,,
0.02,2023-04-24 09:25:06.860890,,,,,,,,,,,,,,
,2023-04-24 09:25:07.850230,0.3432026505470276,0.020109588280320168,0.3432026505470276,99.0,0.0,,,,,,,,,
0.02,2023-04-24 09:25:57.396175,,,,,,,,,,,,,,
,2023-04-24 09:25:58.405814,0.35262686014175415,0.002764267148450017,0.35262686014175415,149.0,0.0,,,,,,,,,
,2023-04-24 09:26:26.599720,,,,,0.0,0.12949833273887634,0.000777295557782054,0.12949833273887634,0.236806258559227,0.0018545107450336218,0.236806258559227,,,
,2023-04-24 09:26:26.666197,,,,,0.0,,,,,,,0.1528058797121048,0.0034854193218052387,0.1528058797121048
0.02,2023-04-24 09:26:51.744378,,,,,,,,,,,,,,
,2023-04-24 09:26:52.777177,0.17587581276893616,0.0009169146651402116,0.17587581276893616,199.0,1.0,,,,,,,,,
0.02,2023-04-24 09:27:44.098750,,,,,,,,,,,,,,
,2023-04-24 09:27:45.147889,0.08857537806034088,0.00044734537368640304,0.08857537806034088,249.0,1.0,,,,,,,,,
0.02,2023-04-24 09:28:37.225083,,,,,,,,,,,,,,
,2023-04-24 09:28:38.283004,0.13233426213264465,0.0004776159767061472,0.13233426213264465,299.0,1.0,,,,,,,,,
0.02,2023-04-24 09:29:30.777693,,,,,,,,,,,,,,
,2023-04-24 09:29:31.841333,0.17366985976696014,0.0007358528673648834,0.17366985976696014,349.0,1.0,,,,,,,,,
,2023-04-24 09:29:34.560204,,,,,1.0,0.15917856991291046,0.0008173325913958251,0.15917856991291046,0.11874959617853165,0.00044179061660543084,0.11874959617853165,,,
,2023-04-24 09:29:34.617841,,,,,1.0,,,,,,,0.1476571410894394,0.0028835944831371307,0.1476571410894394
0.02,2023-04-24 09:30:27.471567,,,,,,,,,,,,,,
,2023-04-24 09:30:28.540331,0.23348566889762878,0.0027346014976501465,0.23348566889762878,399.0,2.0,,,,,,,,,
0.02,2023-04-24 09:31:21.365604,,,,,,,,,,,,,,
,2023-04-24 09:31:22.443598,0.13265587389469147,0.0005880476674064994,0.13265587389469147,449.0,2.0,,,,,,,,,
0.02,2023-04-24 09:32:15.219283,,,,,,,,,,,,,,
,2023-04-24 09:32:17.954090,0.1165229082107544,0.000591196003369987,0.1165229082107544,499.0,2.0,,,,,,,,,
,2023-04-24 09:35:29.157628,,,,,2.0,0.2369392067193985,0.0016103576635941863,0.2369392067193985,0.19146975874900818,0.001811579568311572,0.19146975874900818,,,
,2023-04-24 09:35:29.209501,,,,,2.0,,,,,,,0.14780986309051514,0.0022912989370524883,0.14780986309051514
0.02,2023-04-24 09:35:55.460095,,,,,,,,,,,,,,
,2023-04-24 09:35:56.538114,0.22903594374656677,0.0013147593708708882,0.22903594374656677,549.0,3.0,,,,,,,,,
0.02,2023-04-24 09:36:49.421300,,,,,,,,,,,,,,
,2023-04-24 09:36:50.493155,0.1971755474805832,0.001609168597497046,0.1971755474805832,599.0,3.0,,,,,,,,,
0.02,2023-04-24 09:37:43.218429,,,,,,,,,,,,,,
,2023-04-24 09:37:44.290193,0.22621339559555054,0.001488097244873643,0.22621339559555054,649.0,3.0,,,,,,,,,
0.02,2023-04-24 09:38:37.130959,,,,,,,,,,,,,,
,2023-04-24 09:38:38.204956,0.08478649705648422,0.00028520659543573856,0.08478649705648422,699.0,3.0,,,,,,,,,
,2023-04-24 09:38:41.022517,,,,,3.0,0.249728724360466,0.002593935700133443,0.249728724360466,0.05084623396396637,0.00018372599151916802,0.05084623396396637,,,
,2023-04-24 09:38:41.105958,,,,,3.0,,,,,,,0.1516018658876419,0.004817023407667875,0.1516018658876419
0.02,2023-04-24 09:39:34.347202,,,,,,,,,,,,,,
,2023-04-24 09:39:35.423796,0.27453407645225525,0.016319872811436653,0.27453407645225525,749.0,4.0,,,,,,,,,
0.02,2023-04-24 09:40:28.399712,,,,,,,,,,,,,,
,2023-04-24 09:40:29.473695,0.3565707504749298,0.0037391353398561478,0.3565707504749298,799.0,4.0,,,,,,,,,
0.02,2023-04-24 09:41:22.356190,,,,,,,,,,,,,,
,2023-04-24 09:41:23.426777,0.022731684148311615,9.035955008585006e-05,0.022731684148311615,849.0,4.0,,,,,,,,,
,2023-04-24 09:41:53.113720,,,,,4.0,0.16189685463905334,0.0012098813895136118,0.16189685463905334,0.19322745501995087,0.003689843462780118,0.19322745501995087,,,
,2023-04-24 09:41:53.155635,,,,,4.0,,,,,,,0.14096437394618988,0.0018600869225338101,0.14096437394618988
0.02,2023-04-24 09:42:19.307361,,,,,,,,,,,,,,
,2023-04-24 09:42:20.378043,0.07963056862354279,0.00029090302996337414,0.07963056862354279,899.0,5.0,,,,,,,,,
0.02,2023-04-24 09:43:13.347934,,,,,,,,,,,,,,
,2023-04-24 09:43:14.424934,0.10023471713066101,0.00036108546191826463,0.10023471713066101,949.0,5.0,,,,,,,,,
0.02,2023-04-24 09:44:07.484390,,,,,,,,,,,,,,
