lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.02,2023-04-20 01:34:19.438872,,,,,,,,,,,,,,
,2023-04-20 01:34:20.359357,0.027845581993460655,0.0001091530139092356,0.027845581993460655,49.0,0.0,,,,,,,,,
0.02,2023-04-20 01:35:06.225269,,,,,,,,,,,,,,
,2023-04-20 01:35:07.170387,0.3390704393386841,0.019513476639986038,0.3390704393386841,99.0,0.0,,,,,,,,,
0.02,2023-04-20 01:35:54.084624,,,,,,,,,,,,,,
,2023-04-20 01:35:55.044216,0.35322800278663635,0.0027660601772367954,0.35322800278663635,149.0,0.0,,,,,,,,,
,2023-04-20 01:35:57.297147,,,,,0.0,0.19380445778369904,0.0036055909004062414,0.19380445778369904,0.2647360563278198,0.01796765625476837,0.2647360563278198,,,
,2023-04-20 01:35:57.353046,,,,,0.0,,,,,,,0.15045414865016937,0.003642742522060871,0.15045414865016937
0.02,2023-04-20 01:36:45.059202,,,,,,,,,,,,,,
,2023-04-20 01:36:46.025337,0.17893272638320923,0.0009344032150693238,0.17893272638320923,199.0,1.0,,,,,,,,,
0.02,2023-04-20 01:37:33.812920,,,,,,,,,,,,,,
,2023-04-20 01:37:34.786665,0.08859304338693619,0.0004472321306820959,0.08859304338693619,249.0,1.0,,,,,,,,,
0.02,2023-04-20 01:38:23.009086,,,,,,,,,,,,,,
,2023-04-20 01:38:23.991781,0.15179643034934998,0.000547531177289784,0.15179643034934998,299.0,1.0,,,,,,,,,
,2023-04-20 01:38:26.324995,,,,,1.0,0.10924465209245682,0.00040201653609983623,0.10924465209245682,0.1055031344294548,0.00039108461351133883,0.1055031344294548,,,
,2023-04-20 01:38:26.392125,,,,,1.0,,,,,,,0.14349734783172607,0.0025387078057974577,0.14349734783172607
0.02,2023-04-20 01:39:15.212787,,,,,,,,,,,,,,
